alias,canonical
v AC Milan,AC Milan
v AC Sparta Praha,AC Sparta Praha
v AEK Athen,AEK Athen
v AFC Ajax,AFC Ajax
v APOEL Nikosia,APOEL Nikosia
v AS Monaco,AS Monaco FC
v AS Monaco FC,AS Monaco FC
v AS Roma,AS Roma
v Arsenal FC,Arsenal FC
v Aston Villa FC,Aston Villa FC
v Atalanta,Atalanta BC
v Atalanta BC,Atalanta BC
v Athletic Club,Athletic Club
v Austria Wien,Austria Wien
v BATE Borisov,BATE Borisov
v BSC Young Boys,BSC Young Boys
v Bayer Leverkusen,Bayer 04 Leverkusen
v Borussia Dortmund,Borussia Dortmund
v CFR Cluj,CFR Cluj
v CSKA Moskva,CSKA Moskva
v Celtic FC,Celtic FC
v Chelsea FC,Chelsea FC
v Club Brugge KV,Club Brugge KV
v Crvena Zvezda,FK Crvena Zvezda
v Dinamo Kiev,Dinamo Kiev
v Dinamo Zagreb,GNK Dinamo Zagreb
v Eintracht Frankfurt,Eintracht Frankfurt
v FC Barcelona,FC Barcelona
v FC Internazionale Milano,FC Internazionale Milano
v FC Midtjylland,FC Midtjylland
v FC Porto,FC Porto
v FC Red Bull Salzburg,FC Red Bull Salzburg
v FC Sheriff,FC Sheriff
v FK Astana,FK Astana
v FK Crvena Zvezda,FK Crvena Zvezda
v FK Kairat,FK Kairat
v FK Krasnodar,FK Krasnodar
v FK Rostov,FK Rostov
v FK Shakhtar Donetsk,FK Shakhtar Donetsk
v Feyenoord,Feyenoord Rotterdam
v Feyenoord Rotterdam,Feyenoord Rotterdam
v GNK Dinamo Zagreb,GNK Dinamo Zagreb
v Galatasaray,Galatasaray SK
v Galatasaray SK,Galatasaray SK
v Girona FC,Girona FC
v Inter,Inter
v Juventus,Juventus FC
v Juventus FC,Juventus FC
v KAA Gent,KAA Gent
v KRC Genk,KRC Genk
v Lazio Roma,Lazio Roma
v Legia Warszawa,Legia Warszawa
v Leicester City,Leicester City
v Lille OSC,Lille OSC
v Liverpool FC,Liverpool FC
v Lokomotiv Moskva,Lokomotiv Moskva
v Maccabi Haifa,Maccabi Haifa
v Maccabi Tel Aviv,Maccabi Tel Aviv
v Manchester City,Manchester City FC
v Manchester City FC,Manchester City FC
v Manchester United,Manchester United FC
v Manchester United FC,Manchester United FC
v Montpellier HSC,Montpellier HSC
v NK Maribor,NK Maribor
v Newcastle United FC,Newcastle United FC
v Olympiakos Piraeus,Olympiakos Piraeus
v Olympique Lyonnais,Olympique Lyonnais
v Olympique Marseille,Olympique de Marseille
v Olympique de Marseille,Olympique de Marseille
v PAE Olympiakos SFP,PAE Olympiakos SFP
v PFC Ludogorets Razgrad,PFC Ludogorets Razgrad
v PSV,PSV
v PSV Eindhoven,PSV
v Paphos FC,Paphos FC
v Paris Saint-Germain,Paris Saint-Germain FC
v Paris Saint-Germain FC,Paris Saint-Germain FC
v RB Leipzig,RB Leipzig
v RB Salzburg,FC Red Bull Salzburg
v RSC Anderlecht,RSC Anderlecht
v Racing Club de Lens,Racing Club de Lens
v Rangers FC,Rangers FC
v Real Madrid,Real Madrid CF
v Real Madrid CF,Real Madrid CF
v Real Sociedad,Real Sociedad
v Royal Antwerp FC,Royal Antwerp FC
v Royale Union Saint-Gilloise,Royale Union Saint-Gilloise
v SK Slavia Praha,SK Slavia Praha
v SK Sturm Graz,SK Sturm Graz
v SL Benfica,SL Benfica
v SS Lazio,SS Lazio
v SSC Napoli,SSC Napoli
v Sevilla FC,Sevilla FC
v Shakhtar Donetsk,FK Shakhtar Donetsk
v Slavia Praha,SK Slavia Praha
v Spartak Moskva,Spartak Moskva
v Sport Lisboa e Benfica,SL Benfica
v Sporting Braga,Sporting Clube de Braga
v Sporting CP,Sporting Clube de Portugal
v Sporting Clube de Braga,Sporting Clube de Braga
v Sporting Clube de Portugal,Sporting Clube de Portugal
v Stade Rennais,Stade Rennais
v Tottenham Hotspur,Tottenham Hotspur FC
v Tottenham Hotspur FC,Tottenham Hotspur FC
v Trabzonspor,Trabzonspor
v Valencia CF,Valencia CF
v VfB Stuttgart,VfB Stuttgart
v VfL Wolfsburg,VfL Wolfsburg
v Villarreal CF,Villarreal CF
v Zenit St. Petersburg,Zenit St. Petersburg
AS Monaco,AS Monaco FC
Manchester City,Manchester City FC
Manchester United,Manchester United FC
Juventus,Juventus FC
Paris Saint-Germain,Paris Saint-Germain FC
Real Madrid,Real Madrid CF
Tottenham Hotspur,Tottenham Hotspur FC
Atalanta,Atalanta BC
Olympique Marseille,Olympique de Marseille
PSV Eindhoven,PSV
Feyenoord,Feyenoord Rotterdam
Galatasaray,Galatasaray SK
Shakhtar Donetsk,FK Shakhtar Donetsk
Crvena Zvezda,FK Crvena Zvezda
Dinamo Zagreb,GNK Dinamo Zagreb
RB Salzburg,FC Red Bull Salzburg
Leverkusen,Bayer 04 Leverkusen
Bayer Leverkusen,Bayer 04 Leverkusen
Slavia Praha,SK Slavia Praha
K Slovan Bratislava,ŠK Slovan Bratislava
Sporting CP,Sporting Clube de Portugal
Sporting Braga,Sporting Clube de Braga
Sport Lisboa e Benfica,SL Benfica
Inter,FC Internazionale Milano
Atlético Madrid,Club Atlético de Madrid
benhavn,FC København
dam FK,Qarabağ Ağdam FK
ehir,İstanbul Başakşehir FK
laga CF,Club Atlético de Madrid
lland,FC Midtjylland
nchen,FC Bayern München
nchengladbach,Borussia Mönchengladbach
rosi TC,Ferencvárosi TC
tbol,FC Nordsjælland
tico Madrid,Club Atlético de Madrid
tico de Madrid,Club Atlético de Madrid
Slovan Bratislava,ŠK Slovan Bratislava
Bayern München,FC Bayern München
Aston Villa,Aston Villa FC
Pafos FC,Paphos FC
Sturm Graz,SK Sturm Graz
