id,team_name,season
1,AC Milan,2011-12
2,AFC Ajax,2011-12
3,APOEL Nikosia,2011-12
4,Arsenal FC,2011-12
5,BATE Borisov,2011-12
6,Bayer 04 Leverkusen,2011-12
7,Bayern München,2011-12
8,Borussia Dortmund,2011-12
9,CSKA Moskva,2011-12
10,Chelsea FC,2011-12
11,FC Barcelona,2011-12
12,FC Basel 1893,2011-12
13,FC Internazionale Milano,2011-12
14,FC Porto,2011-12
15,FK Shakhtar Donetsk,2011-12
16,GNK Dinamo Zagreb,2011-12
17,KRC Genk,2011-12
18,Lille OSC,2011-12
19,Manchester City FC,2011-12
20,Manchester United FC,2011-12
21,Olympiakos Piraeus,2011-12
22,Olympique Lyonnais,2011-12
23,Olympique de Marseille,2011-12
24,Oţelul Galaţi,2011-12
25,Real Madrid CF,2011-12
26,SL Benfica,2011-12
27,SSC Napoli,2011-12
28,Trabzonspor,2011-12
29,Valencia CF,2011-12
30,Viktoria Plzeň,2011-12
31,Villarreal CF,2011-12
32,Zenit St. Petersburg,2011-12
